Input Sample,ML,MLH,NEH,NE,P-value,Pearson Correlation,RMSE
C1T1,0,0.33571978924445,0,0.66428021075555,0,0.611075220385563,0.881820647791681
C1T2,0.023250184307724,0.5836250400098,0,0.39312477568248,0.002,0.561634388151693,1.02513341071557
C2T2,0.0881182253331,0.49005618983111,0,0.42182558483579,0.012,0.386590913288766,1.12989786059084
C3T2,0.02112531828888,0.44966110092268,0,0.52921358078844,0.012,0.404272948413652,1.12577296515579
C6T1,0.015043260273853,0.52511031336075,0,0.4598464263654,0,0.757136212572099,0.75334117063347
C6T2,0.020346672720356,0.46204844139931,0,0.51760488588033,0,0.737294416959568,0.756582742408393
C2T1,0.019260131488027,0.41706689298734,0,0.56367297552464,0.006,0.490661565037184,1.02957378122367
C2L1,0.018655105789769,0.40089114179456,0,0.58045375241567,0.006,0.477949630540741,1.03624451627048
C6L2,0.0195332183321,0.35544197486338,0,0.62502480680452,0,0.77166095099016,0.676293494042942
C2L2,0.022738865384142,0.31994756998687,0,0.65731356462899,0.008,0.42161781352217,1.05867928525717
C3L2,0.048685493685249,0.18334044514631,0,0.76797406116845,0.004,0.523989126730355,0.91710432747233
C3L3,0.020207274169488,0.15714463726118,0,0.82264808856934,0.012,0.367878039368985,1.05917260522675
C6L1,0.012738717112634,0.39309323552385,0,0.59416804736352,0,0.80734255865774,0.632908182625171
C6L34,0.015370139101834,0.25170101462775,0,0.73292884627042,0,0.764486298234275,0.666784838342901
DY11T3,0.021837519697777,0.29854861229239,0,0.67961386800984,0,0.707384144714368,0.750012899535486
DY4T1,0.044915497063605,0.37106659536801,0,0.58401790756839,0,0.685260678082968,0.78896192189492
DY53L1,0,0.14824578182501,0,0.85175421817499,0,0.730178583160504,0.701144761021703
M4T1,0.025370836024473,0.36707716907275,0,0.60755199490278,0,0.734542285415886,0.729868625014149
M4T2,0.046697434693421,0.41101962061706,0,0.54228294468952,0.004,0.510194362255111,0.996133211016118
M4T4,0.044471996297917,0.45822428470414,0,0.49730371899794,0,0.599141140277328,0.919610681585373
DY53T1,0.022777084625117,0.39387313941833,0,0.58334977595656,0,0.629309900246402,0.870591696712768
DY53T3,0.049661284249352,0.35310177826494,0,0.59723693748571,0,0.598379760127731,0.883266856895059
M5T2,0.088029951533923,0.42866450803144,0,0.48330554043464,0.004,0.522401314686617,0.974352081713275
M5T4,0.028138692046297,0.3695030829017,0,0.602358225052,0,0.583015005636404,0.912769830633291
M2T3,0.029220072594038,0.43410082105074,0,0.53667910635523,0.006,0.448061109902419,1.0738765995212
M9T2,0.024554366513298,0.42539368912898,0,0.55005194435773,0.006,0.463724438130041,1.05720319803592
M11T2,0.024534710987795,0.43519627946228,0,0.54026900954993,0,0.587205264147949,0.932273610186235
M9T1,0.055648213933482,0.36304818132623,0,0.58130360474029,0.012,0.389671527747257,1.08857185612234
DY53T2,0.096884743542131,0.28321530877443,0,0.61989994768344,0,0.630143921304375,0.817241388821484
M2T2,0.093336969163231,0.32551779941066,0,0.5811452314261,0.006,0.455504280495136,1.00172060488777
M5T1,0.16607586757348,0.21234301445086,0,0.62158111797566,0,0.629138423707039,0.792853020887931
M2T1,0.042309244564566,0.13749842367208,0,0.82019233176336,0,0.64207567877242,0.793017061408379
M11T3,0.033810015849194,0.33274978473809,0,0.63344019941271,0,0.677993090478992,0.791160223803439
M2N1,0.025601334223677,0.17214799814746,0,0.80225066762886,0.002,0.560888687519626,0.886491751057555
M11N1,0,0.18247554956607,0,0.81752445043393,0,0.632005550873221,0.821957262660743
M9N1,0.040881093882012,0.2030422088534,0,0.75607669726459,0.004,0.497000603030111,0.949143331081727
M5N1,0.05066965208752,0.003582185705318,0,0.94574816220716,0,0.684526024618848,0.734969151579491
DY53N1,0.026931904063116,0.17745645284301,0,0.79561164309388,0,0.665964259980676,0.775916603611954
DY53L1,0,0.16857389573146,0,0.83142610426854,0,0.677575762439004,0.767919950687906
DY53Lm,0.013535500834425,0.092781767653724,0,0.89368273151185,0,0.657476407493639,0.777430103872141
M2L1,0.008770196409667,0.16133594713503,0,0.82989385645531,0,0.771996870372452,0.645829611121345
M2L2,0,0.021527546858915,0,0.97847245314109,0,0.744040695472384,0.673409693359754
M5L1,0.054503017404338,0.025242854260486,0.037842377960088,0.88241175037509,0,0.676781478534845,0.739926662526703
M5L2,0.011957602942995,0.017571155726089,0.007660306554353,0.96281093477656,0,0.649474940747988,0.77817203021096
M9Lm,0.008706922074034,0.1416115805628,0,0.84968149736317,0.012,0.405234044968741,1.02892390280809
